CNPJ;Farmácia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
2,16516E+13;A BOTICA DROGARIA LTDA;RUA MACAÉ, Nº 373;BAIRRO DA GRAÇA;Belo Horizonte;MG;;;RUA MACAÉ, Nº 373, BAIRRO DA GRAÇA, Belo Horizonte, MG, Brasil
1,14425E+13;AG FARMA LTDA - ME;RIO DE JANEIRO;CENTRO;Belo Horizonte;MG;-19,9162884;-43,9378304;RIO DE JANEIRO, CENTRO, Belo Horizonte, MG, Brasil
2,01958E+12;ALFENAS E OLIVEIRA DROGARIA E PERFUMARIA LTDA;PORTO SEGURO;NOVA VISTA;Belo Horizonte;MG;-19,8861502;-43,900237;PORTO SEGURO, NOVA VISTA, Belo Horizonte, MG, Brasil
1,10726E+13;AMC DROGARIA LTDA - ME;GLEUCY JOSE DE OLIVEIRA;CONJUNTO TAQUARIL;Belo Horizonte;MG;-19,9186817;-43,8785493;GLEUCY JOSE DE OLIVEIRA, CONJUNTO TAQUARIL, Belo Horizonte, MG, Brasil
3,19309E+12;APOLITANA FERNANDA GONCALVES;OTY DA COSTA LAGE;SAO BENTO;Belo Horizonte;MG;-19,9569769;-43,954111;OTY DA COSTA LAGE, SAO BENTO, Belo Horizonte, MG, Brasil
6,89E+12;AVANTE FORMULA LTDA - ME;DORESOPOLIS;FERNAO DIAS;Belo Horizonte;MG;-19,8736074;-43,9197268;DORESOPOLIS, FERNAO DIAS, Belo Horizonte, MG, Brasil
1,4876E+12;BH DIET - A CASA DO DIABETICO LTDA.;SOLFERINA RICCI PACE;CDI JATOBA (BARREIRO);Belo Horizonte;MG;-19,999137;-44,0409655;SOLFERINA RICCI PACE, CDI JATOBA (BARREIRO), Belo Horizonte, MG, Brasil
1,4876E+12;BHDIET- A CASA DO DIABETICO LTDA;RUA CECÍLIA FONSECA COUTINHO 205;SANTA EFIGENIA;Belo Horizonte;MG;-19,9237686;-43,9212458;RUA CECÍLIA FONSECA COUTINHO 205, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
2,18346E+13;CENDROL CENTRAL DROGAS LTDA;MAJOR DELFINO DE PAULA;SAO FRANCISCO;Belo Horizonte;MG;-19,8793223;-43,9577846;MAJOR DELFINO DE PAULA, SAO FRANCISCO, Belo Horizonte, MG, Brasil
1,13626E+13;CLOVES RODRIGUES DA FONSECA;SERRANA;SERRANO;Belo Horizonte;MG;-19,8831144;-44,0120556;SERRANA, SERRANO, Belo Horizonte, MG, Brasil
5,50965E+12;COMERCIAL DERENUSSON LTDA;JOSE BENEVIDES DA SILVEIRA;LETICIA;Belo Horizonte;MG;-19,8070283;-43,9804371;JOSE BENEVIDES DA SILVEIRA, LETICIA, Belo Horizonte, MG, Brasil
5,75209E+12;COMERCIAL PEREIRA ALVES LTDA - ME;SAO PAULO;LOURDES;Belo Horizonte;MG;-19,9316929;-43,9434441;SAO PAULO, LOURDES, Belo Horizonte, MG, Brasil
1,03524E+13;DROGA G SANTA TEREZINHA LTDA;JULITA NOGUEIRA SOARES;SANTA TEREZINHA;Belo Horizonte;MG;-19,8707202;-44,0083552;JULITA NOGUEIRA SOARES, SANTA TEREZINHA, Belo Horizonte, MG, Brasil
1,79622E+13;DROGA HUM LTDA;TURQUESA;PRADO;Belo Horizonte;MG;-19,9276033;-43,9588071;TURQUESA, PRADO, Belo Horizonte, MG, Brasil
